timestamp,j0_pos,j0_vel,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel,j7_pos,j7_vel,j8_pos,j8_vel,j9_pos,j9_vel
0.1836,12.500000,45.000000,-0.032617,-0.010990,1.742771,0.010990,-2.447356,0.032967,-0.686847,-0.010990,-0.057794,-0.010990,0.000572,-0.010990,-1.778248,-0.010990,2.223812,0.032967,0.477798,-0.010990
0.1860,12.500000,45.000000,-0.032617,0.032967,1.742390,-0.032967,-2.447356,-0.010990,-0.686847,0.010990,-0.057412,0.010990,0.000191,-0.010990,-1.778248,-0.010990,2.223812,0.010990,0.477798,0.010990
0.1880,12.500000,45.000000,-0.032998,0.010990,1.742771,-0.010990,-2.447356,0.032967,-0.686847,0.010990,-0.057794,0.010990,0.000572,0.010990,-1.778248,-0.032967,2.223812,0.032967,0.477798,0.010990
0.1899,12.500000,45.000000,-0.032617,0.032967,1.742390,-0.010990,-2.447356,0.010990,-0.686847,-0.010990,-0.057412,0.010990,0.000572,0.010990,-1.778248,-0.010990,2.223812,0.032967,0.477798,0.010990
0.1916,12.500000,45.000000,-0.032617,0.032967,1.742390,0.010990,-2.447356,-0.010990,-0.686847,0.010990,-0.057794,0.010990,0.000572,0.010990,-1.778248,-0.032967,2.223812,-0.010990,0.477798,0.010990
0.1933,12.500000,45.000000,-0.032617,0.032967,1.742390,0.010990,-2.447356,0.010990,-0.686847,0.032967,-0.057794,0.010990,0.000572,0.010990,-1.778248,-0.010990,2.223812,0.032967,0.477798,0.032967
0.1951,12.500000,45.000000,-0.032617,0.010990,1.742390,-0.010990,-2.447356,0.010990,-0.686847,0.010990,-0.057794,-0.010990,0.000572,-0.010990,-1.778248,-0.010990,2.224194,0.010990,0.477798,0.032967
0.1971,12.500000,45.000000,-0.032617,0.010990,1.742390,-0.010990,-2.447356,0.010990,-0.686847,0.010990,-0.057794,-0.010990,0.000572,-0.010990,-1.778248,-0.010990,2.224194,0.010990,0.477798,-0.010990
0.1991,12.500000,45.000000,-0.032617,0.010990,1.742771,0.010990,-2.447356,0.032967,-0.686847,-0.010990,-0.057412,0.032967,0.000572,0.010990,-1.778248,-0.032967,2.223812,0.032967,0.477798,0.032967
0.2013,12.500000,45.000000,-0.032617,0.010990,1.742390,0.010990,-2.447356,0.010990,-0.686847,0.032967,-0.057412,0.054947,0.000572,0.010990,-1.778248,-0.010990,2.223812,0.010990,0.477798,0.032967
